trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-122.82236264885775,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-239.9326058882426,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-52.57038454681754,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-132.0805648992022,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-83.82130566321732,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-27.36079712362846,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",35,10,-24.972675054387032,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,8,-38.3036039522823,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,13,-14.705589077444161,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",20,0,-33.92043807804276,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",25,0,-122.58940560595235,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-109.10352556775658,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-171.3469278454223,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,18,12.065763028030197,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-110.26283134650048,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,0,-72.85212160141789,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,0,-106.44002948734729,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",25,0,-183.52098409051953,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-67.65852675110446,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",25,0,-54.92912512162402,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",25,0,-120.61608584488273,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",25,0,-115.76897543300015,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",30,0,-75.53626105126368,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-75.95568296917847,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
