trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.7023514020806,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.807740357928495,"{0: 13, 1: 6, 2: 0, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.10721229539854,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.78214064378028,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.903127477818074,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.72277717645807,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.33592405141898,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.10353157027083,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.59429515143462,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.55361875603253,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.92305090888196,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.06794170797829,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.72595241830649,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.26696917378086,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,17,-5.133061248249087,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.56557593459354,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.70603701318106,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.8356117808467,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.71959852856884,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.57436622064643,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,12,-1.8031857750864235,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-64.17216726532163,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,4,-39.02249786410109,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.21110843158237,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,10,-79.93647618435374,"{0: 4, 1: 3, 2: 1, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-56.51149252075733,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.4751074645869,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.5474489238477,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.58447817915928,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.64216849505529,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
